"Ccl Lvo","Grado","Org Acad","Descr Fmal","Catálogo","ID Curso","Asignatura","Nº Clase","Sección","Sesión","Componente","Estado Clase","Est Inscr","Lun","Mart","Miérc","Jue","Vier","Sáb","Dom","Hora Inicio Clase","Hora Fin Clase","F Inicial","F Final","ID Instalación","Capacidad Aula Asignada","Capacidad Aula Solicitada","Capacidad Inscripción","Descr","Tot Inscr"
"1220","PREG","DPT-ISIST","Departamento de Ingeniería de Sistemas","    IY2","008512","Auditoria de Sistemas","1339","1","Ordinaria","Teórico","Activo","Abierto","N","N","N","N","Y","N","N"," 6:00:00.000000PM"," 9:00:00.000000PM","06/23/2012","06/29/2012","SC002-P003","36","35","35","Asignatura RAI","0"
"1220","PREG","DPT-ISIST","Departamento de Ingeniería de Sistemas","    IY2","008512","Auditoria de Sistemas","1339","1","Ordinaria","Teórico","Activo","Abierto","N","N","Y","N","N","N","N"," 6:00:00.000000PM"," 9:00:00.000000PM","06/24/2012","06/29/2012","SC002-P003","36","35","35","Asignatura RAI","0"
"1220","PREG","DPT-ISIST","Departamento de Ingeniería de Sistemas","4800","005100","Pry. Social Univers. ISist","1269","1","Ordinaria","Trabajo Campo","Activo","Abierto","N","N","N","N","Y","N","N"," 2:00:00.000000PM"," 4:00:00.000000PM","06/19/2012","07/13/2012","NO-SALON","1000","20","20","","14"
"1220","PREG","DPT-ISIST","Departamento de Ingeniería de Sistemas","4800","005100","Pry. Social Univers. ISist","1269","1","Ordinaria","Trabajo Campo","Activo","Abierto","N","N","N","Y","N","N","N"," 2:00:00.000000PM"," 4:00:00.000000PM","06/19/2012","07/13/2012","NO-SALON","1000","20","20","","14"
"1220","PREG","DPT-ISIST","Departamento de Ingeniería de Sistemas","4800","005100","Pry. Social Univers. ISist","1269","1","Ordinaria","Trabajo Campo","Activo","Abierto","N","N","Y","N","N","N","N"," 2:00:00.000000PM"," 4:00:00.000000PM","06/19/2012","07/13/2012","NO-SALON","1000","20","20","","14"
"1220","PREG","DPT-ISIST","Departamento de Ingeniería de Sistemas","4800","005100","Pry. Social Univers. ISist","1269","1","Ordinaria","Trabajo Campo","Activo","Abierto","N","Y","N","N","N","N","N"," 2:00:00.000000PM"," 4:00:00.000000PM","06/19/2012","07/13/2012","NO-SALON","1000","20","20","","14"
"1220","PREG","DPT-ISIST","Departamento de Ingeniería de Sistemas","4800","005100","Pry. Social Univers. ISist","1269","1","Ordinaria","Trabajo Campo","Activo","Abierto","Y","N","N","N","N","N","N"," 2:00:00.000000PM"," 4:00:00.000000PM","06/19/2012","07/13/2012","NO-SALON","1000","20","20","","14"
