"Ccl Lvo","Grado","Org Acad","Descr Fmal","Catálogo","ID Curso","Asignatura","Nº Clase","Sección","Sesión","Componente","Estado Clase","Est Inscr","Lun","Mart","Miérc","Jue","Vier","Sáb","Dom","Hora Inicio Clase","Hora Fin Clase","F Inicial","F Final","ID Instalación","Capacidad Aula Asignada","Capacidad Aula Solicitada","Capacidad Inscripción","Descr","Tot Inscr"
"1120","PREG","DPT-ISIST","Departamento de Ingeniería de Sistemas","4800","005100","Pry. Social Univers. ISist","1186","1","Ordinaria","Trabajo Campo","Activo","Abierto","N","N","N","N","Y","N","N"," 8:00:00.000000AM","12:30:00.000000PM","06/13/2011","07/09/2011","NO-SALON","1000","15","15","","13"
"1120","PREG","DPT-ISIST","Departamento de Ingeniería de Sistemas","4800","005100","Pry. Social Univers. ISist","1186","1","Ordinaria","Trabajo Campo","Activo","Abierto","N","N","N","Y","N","N","N"," 1:00:00.000000PM"," 5:30:00.000000PM","06/13/2011","07/09/2011","NO-SALON","1000","15","15","","13"
"1120","PREG","DPT-ISIST","Departamento de Ingeniería de Sistemas","4800","005100","Pry. Social Univers. ISist","1186","1","Ordinaria","Trabajo Campo","Activo","Abierto","N","N","Y","N","N","N","N"," 8:00:00.000000AM","12:30:00.000000PM","06/13/2011","07/09/2011","NO-SALON","1000","15","15","","13"
"1120","PREG","DPT-ISIST","Departamento de Ingeniería de Sistemas","4800","005100","Pry. Social Univers. ISist","1186","1","Ordinaria","Trabajo Campo","Activo","Abierto","N","Y","N","N","N","N","N"," 1:00:00.000000PM"," 5:30:00.000000PM","06/13/2011","07/09/2011","NO-SALON","1000","15","15","","13"
"1120","PREG","DPT-ISIST","Departamento de Ingeniería de Sistemas","4800","005100","Pry. Social Univers. ISist","1186","1","Ordinaria","Trabajo Campo","Activo","Abierto","Y","N","N","N","N","N","N"," 8:00:00.000000AM","12:30:00.000000PM","06/13/2011","07/09/2011","NO-SALON","1000","15","15","","13"
