"Ccl Lvo","Grado","Org Acad","Descr Fmal","Catálogo","ID Curso","Asignatura","Nº Clase","Sección","Sesión","Componente","Estado Clase","Est Inscr","Lun","Mart","Miérc","Jue","Vier","Sáb","Dom","Hora Inicio Clase","Hora Fin Clase","F Inicial","F Final","ID Instalación","Capacidad Aula Asignada","Capacidad Aula Solicitada","Capacidad Inscripción","Descr","Tot Inscr"
"1020","PREG","DPT-ISIST","Departamento de Ingeniería de Sistemas","4800","005100","Pry. Social Univers. ISist","1285","1","Ordinaria","Trabajo Campo","Activo","Cerrado","N","N","N","N","Y","N","N"," 1:00:00.000000PM"," 5:30:00.000000PM","06/15/2010","07/10/2010","NO-SALON","1000","20","20","","20"
"1020","PREG","DPT-ISIST","Departamento de Ingeniería de Sistemas","4800","005100","Pry. Social Univers. ISist","1285","1","Ordinaria","Trabajo Campo","Activo","Cerrado","N","N","N","Y","N","N","N"," 1:00:00.000000PM"," 5:30:00.000000PM","06/15/2010","07/10/2010","NO-SALON","1000","20","20","","20"
"1020","PREG","DPT-ISIST","Departamento de Ingeniería de Sistemas","4800","005100","Pry. Social Univers. ISist","1285","1","Ordinaria","Trabajo Campo","Activo","Cerrado","N","N","Y","N","N","N","N"," 1:00:00.000000PM"," 5:30:00.000000PM","06/15/2010","07/10/2010","NO-SALON","1000","20","20","","20"
"1020","PREG","DPT-ISIST","Departamento de Ingeniería de Sistemas","4800","005100","Pry. Social Univers. ISist","1285","1","Ordinaria","Trabajo Campo","Activo","Cerrado","N","Y","N","N","N","N","N"," 1:00:00.000000PM"," 5:30:00.000000PM","06/15/2010","07/10/2010","NO-SALON","1000","20","20","","20"
"1020","PREG","DPT-ISIST","Departamento de Ingeniería de Sistemas","4800","005100","Pry. Social Univers. ISist","1285","1","Ordinaria","Trabajo Campo","Activo","Cerrado","Y","N","N","N","N","N","N"," 1:00:00.000000PM"," 5:30:00.000000PM","06/15/2010","07/10/2010","NO-SALON","1000","20","20","","20"
